2024-12-16 00:18:44,207 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-12-16 00:18:44,208 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Configure stats pid to 12744
2024-12-16 00:18:44,208 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Loading settings from C:\Users\Administrator\.config\wandb\settings
2024-12-16 00:18:44,208 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Loading settings from E:\GitHub Repository\IFT6358\Milestone 3\wandb\settings
2024-12-16 00:18:44,208 WARNING MainThread:12744 [wandb_setup.py:_flush():79] Unknown environment variable: WANDB_SERVICE
2024-12-16 00:18:44,208 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Milestone 3\\app.py', 'program_abspath': 'E:\\GitHub Repository\\IFT6358\\Milestone 3\\app.py', 'program': 'E:\\GitHub Repository\\IFT6358\\Milestone 3\\app.py'}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_init.py:_log_setup():534] Logging user logs to E:\GitHub Repository\IFT6358\Milestone 3\wandb\run-20241216_001844-lsrbqyyl\logs\debug.log
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_init.py:_log_setup():535] Logging internal logs to E:\GitHub Repository\IFT6358\Milestone 3\wandb\run-20241216_001844-lsrbqyyl\logs\debug-internal.log
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_init.py:init():621] calling init triggers
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-12-16 00:18:44,210 INFO    MainThread:12744 [wandb_init.py:init():671] starting backend
2024-12-16 00:18:44,211 INFO    MainThread:12744 [wandb_init.py:init():675] sending inform_init request
2024-12-16 00:18:44,215 INFO    MainThread:12744 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-16 00:18:44,216 INFO    MainThread:12744 [wandb_init.py:init():688] backend started and connected
2024-12-16 00:18:44,228 INFO    MainThread:12744 [wandb_init.py:init():783] updated telemetry
2024-12-16 00:18:44,262 INFO    MainThread:12744 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-12-16 00:18:44,519 INFO    MainThread:12744 [wandb_init.py:init():867] starting run threads in backend
2024-12-16 00:18:44,758 INFO    MainThread:12744 [wandb_run.py:_console_start():2463] atexit reg
2024-12-16 00:18:44,758 INFO    MainThread:12744 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-12-16 00:18:44,758 INFO    MainThread:12744 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-12-16 00:18:44,759 INFO    MainThread:12744 [wandb_run.py:_redirect():2401] Redirects installed.
2024-12-16 00:18:44,761 INFO    MainThread:12744 [wandb_init.py:init():911] run started, returning control to user process
